Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
CreateModel,"Grants permission to create a model in Amazon SageMaker. In the request, you specify a name for the model and describe one or more containers",Write,model*,,iam:PassRole
CreateModel,"Grants permission to create a model in Amazon SageMaker. In the request, you specify a name for the model and describe one or more containers",Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:NetworkIsolation  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets,
CreateModelBiasJobDefinition,Grants permission to create a model bias job definition,Write,model-bias-job-definition*,,iam:PassRole
CreateModelBiasJobDefinition,Grants permission to create a model bias job definition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:InstanceTypes  sagemaker:InterContainerTrafficEncryption  sagemaker:MaxRuntimeInSeconds  sagemaker:NetworkIsolation  sagemaker:OutputKmsKey  sagemaker:VolumeKmsKey  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets,
CreateModelExplainabilityJobDefinition,Grants permission to create a model explainability job definition,Write,model-explainability-job-definition*,,iam:PassRole
CreateModelExplainabilityJobDefinition,Grants permission to create a model explainability job definition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:InstanceTypes  sagemaker:InterContainerTrafficEncryption  sagemaker:MaxRuntimeInSeconds  sagemaker:NetworkIsolation  sagemaker:OutputKmsKey  sagemaker:VolumeKmsKey  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets,
CreateModelPackage,Grants permission to create a ModelPackage,Write,model-package,,
CreateModelPackage,Grants permission to create a ModelPackage,Write,model-package-group,,
CreateModelPackage,Grants permission to create a ModelPackage,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:ModelApprovalStatus,
CreateModelPackageGroup,Grants permission to create a ModelPackageGroup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateModelPackageGroup,Grants permission to create a ModelPackageGroup,Write,model-package-group*,,
CreateModelQualityJobDefinition,Grants permission to create a model quality job definition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:InstanceTypes  sagemaker:InterContainerTrafficEncryption  sagemaker:MaxRuntimeInSeconds  sagemaker:NetworkIsolation  sagemaker:OutputKmsKey  sagemaker:VolumeKmsKey  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets,
CreateModelQualityJobDefinition,Grants permission to create a model quality job definition,Write,model-quality-job-definition*,,iam:PassRole
CreateMonitoringSchedule,Grants permission to create a monitoring schedule,Write,monitoring-schedule*,,iam:PassRole
CreateMonitoringSchedule,Grants permission to create a monitoring schedule,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:InstanceTypes  sagemaker:InterContainerTrafficEncryption  sagemaker:MaxRuntimeInSeconds  sagemaker:NetworkIsolation  sagemaker:OutputKmsKey  sagemaker:VolumeKmsKey  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets,
CreateNotebookInstance,Grants permission to create an Amazon SageMaker notebook instance. A notebook instance is an Amazon EC2 instance running on a Jupyter Notebook,Write,notebook-instance*,,iam:PassRole
CreateNotebookInstance,Grants permission to create an Amazon SageMaker notebook instance. A notebook instance is an Amazon EC2 instance running on a Jupyter Notebook,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:AcceleratorTypes  sagemaker:DirectInternetAccess  sagemaker:InstanceTypes  sagemaker:MinimumInstanceMetadataServiceVersion  sagemaker:RootAccess  sagemaker:VolumeKmsKey  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets,
CreateNotebookInstanceLifecycleConfig,Grants permission to create a notebook instance lifecycle configuration that can be deployed using Amazon SageMaker,Write,notebook-instance-lifecycle-config*,,
CreatePipeline,Grants permission to create a pipeline,Write,pipeline*,,iam:PassRole
CreatePipeline,Grants permission to create a pipeline,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreatePresignedDomainUrl,Grants permission to return a URL that you can use from your browser to connect to the Domain as a specified UserProfile when AuthMode is 'IAM',Write,user-profile*,,
CreatePresignedNotebookInstanceUrl,Grants permission to create a URL that you can use from your browser to connect to the Notebook Instance,Write,notebook-instance*,,
CreateProcessingJob,"Grants permission to start a processing job. After processing completes, Amazon SageMaker saves the resulting artifacts and other optional output to an Amazon S3 location that you specify",Write,processing-job*,,iam:PassRole
CreateProcessingJob,"Grants permission to start a processing job. After processing completes, Amazon SageMaker saves the resulting artifacts and other optional output to an Amazon S3 location that you specify",Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:InstanceTypes  sagemaker:MaxRuntimeInSeconds  sagemaker:NetworkIsolation  sagemaker:OutputKmsKey  sagemaker:VolumeKmsKey  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets  sagemaker:InterContainerTrafficEncryption,
CreateProject,Grants permission to create a Project,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateProject,Grants permission to create a Project,Write,project*,,
CreateStudioLifecycleConfig,Grants permission to create a Studio Lifecycle Configuration that can be deployed using Amazon SageMaker,Write,studio-lifecycle-config*,,
CreateTrainingJob,"Grants permission to start a model training job. After training completes, Amazon SageMaker saves the resulting model artifacts and other optional output to an Amazon S3 location that you specify",Write,training-job*,,iam:PassRole
CreateTrainingJob,"Grants permission to start a model training job. After training completes, Amazon SageMaker saves the resulting model artifacts and other optional output to an Amazon S3 location that you specify",Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:FileSystemAccessMode  sagemaker:FileSystemDirectoryPath  sagemaker:FileSystemId  sagemaker:FileSystemType  sagemaker:InstanceTypes  sagemaker:InterContainerTrafficEncryption  sagemaker:MaxRuntimeInSeconds  sagemaker:NetworkIsolation  sagemaker:OutputKmsKey  sagemaker:VolumeKmsKey  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets,
CreateTransformJob,"Grants permission to start a transform job. After the results are obtained, Amazon SageMaker saves them to an Amazon S3 location that you specify",Write,transform-job*,,
CreateTransformJob,"Grants permission to start a transform job. After the results are obtained, Amazon SageMaker saves them to an Amazon S3 location that you specify",Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:InstanceTypes  sagemaker:ModelArn  sagemaker:OutputKmsKey  sagemaker:VolumeKmsKey,
CreateTrial,Grants permission to create a trial,Write,experiment-trial*,,
CreateTrial,Grants permission to create a trial,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateTrialComponent,Grants permission to create a trial component,Write,experiment-trial-component*,,
CreateTrialComponent,Grants permission to create a trial component,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateUserProfile,Grants permission to create a UserProfile for a SageMaker Studio Domain,Write,user-profile*,,iam:PassRole
CreateUserProfile,Grants permission to create a UserProfile for a SageMaker Studio Domain,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:VpcSecurityGroupIds  sagemaker:InstanceTypes  sagemaker:DomainSharingOutputKmsKey  sagemaker:ImageArns  sagemaker:ImageVersionArns,
CreateWorkforce,Grants permission to create a workforce,Write,workforce*,,
CreateWorkforce,Grants permission to create a workforce,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateWorkteam,Grants permission to create a workteam,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
CreateWorkteam,Grants permission to create a workteam,Write,workteam*,,
DeleteAction,Grants permission to delete an action,Write,action*,,
DeleteAlgorithm,Grants permission to delete an algorithm,Write,algorithm*,,
DeleteApp,Grants permission to delete an App,Write,app*,,
DeleteAppImageConfig,Grants permission to delete an AppImageConfig,Write,app-image-config*,,
DeleteArtifact,Grants permission to delete an artifact,Write,artifact*,,
DeleteAssociation,"Grants permission to delete the association from a lineage entity (artifact, context, action, experiment, experiment-trial-component) to another",Write,action*,,
DeleteAssociation,"Grants permission to delete the association from a lineage entity (artifact, context, action, experiment, experiment-trial-component) to another",Write,artifact*,,
DeleteAssociation,"Grants permission to delete the association from a lineage entity (artifact, context, action, experiment, experiment-trial-component) to another",Write,context*,,
DeleteAssociation,"Grants permission to delete the association from a lineage entity (artifact, context, action, experiment, experiment-trial-component) to another",Write,experiment*,,
DeleteAssociation,"Grants permission to delete the association from a lineage entity (artifact, context, action, experiment, experiment-trial-component) to another",Write,experiment-trial-component*,,
DeleteCodeRepository,Grants permission to delete a CodeRepository,Write,code-repository*,,
DeleteContext,Grants permission to delete a context,Write,context*,,
DeleteDataQualityJobDefinition,Grants permission to delete the data quality job definition created using the CreateDataQualityJobDefinition API,Write,data-quality-job-definition*,,
DeleteDeviceFleet,Grants permission to delete a device fleet,Write,device-fleet*,,
DeleteDomain,Grants permission to delete a Domain,Write,domain*,,
DeleteEndpoint,Grants permission to delete an endpoint. Amazon SageMaker frees up all the resources that were deployed when the endpoint was created,Write,endpoint*,,
DeleteEndpointConfig,Grants permission to delete the endpoint configuration created using the CreateEndpointConfig API. The DeleteEndpointConfig API deletes only the specified configuration. It does not delete any endpoints created using the configuration,Write,endpoint-config*,,
DeleteExperiment,Grants permission to delete an experiment,Write,experiment*,,
DeleteFeatureGroup,Grants permission to delete a feature group,Write,feature-group*,,
DeleteFeatureGroup,Grants permission to delete a feature group,Write,,aws:RequestTag/${TagKey},
DeleteFlowDefinition,Grants permission to delete the specified flow definition,Write,flow-definition*,,
DeleteHumanLoop,Grants permission to delete a specified human loop,Write,human-loop*,,
DeleteHumanTaskUi,Grants permission to delete the specified human task user interface (worker task template),Write,human-task-ui*,,
DeleteImage,Grants permission to delete a SageMaker Image,Write,image*,,
DeleteImageVersion,Grants permission to delete a SageMaker ImageVersion,Write,image-version*,,
DeleteLineageGroupPolicy,Grants permission to delete a lineage group policy,Write,,,
